"Company","Vessel Name","IMO"
"Angelique Shipholding SA","Angelina The Great N","9593725"
"Eletson Corporation","Angistri","9176773"
"Wall RO/RO AB","Aniara","9377494"
"lason Product Carrier SA","Anikitos","9710490"
"Cypress Maritime (Panama) SA","ANL Gippsland","9532800"
"Containers Services Inc.","ANL Tongala","9278105"
"Kommanditgesellschaft MS CPO New York Offen R","ANL Warrnambool","9440772"
"Annastar Ventures Ltd.","Annastar","9620190"
"Euronav NV","Anne","9722936"
"Harley Marine Services, Inc.","Anne Elizabeth","1228172"
"Z. & G. Halcoussis Co. Ltd.","Annita","9282869"
"OMC Shipping Pte. Ltd.","Ansac Columbia","9791949"
"Wealth Ocean Ship Management (Shanghai) Co., Lt","Ansac Pride","9619737"
"Wealth Line Inc.","Anshun","9851347"
"Powerful Shipping SA","Antarctic","9315185"
"Super-Eco Tankers Management Inc.","Antares","9723019"
"Kirby Offshore Marine, LLC","Antares","1153165"
"Kirby Offshore Marine, LLC","Antares","1153165"
"Kirby Offshore Marine, LLC","Antares","1153165"
"NYK Shipmanagement Pte. Ltd.","Antares Leader","9539169"
"Marfin Management S.A.M.","Ante Topic","9737072"
"Euronav NV","Antigone","9709075"
"Searoller Limited","Antigua |","9753363"
"Eletson Corporation","Antikeros","9281853"
"Antiparos Maritime Corporation","Antiparos","9600657"
"Novel Shipping Inc.","Antipolis","9792204"
"Marfin Management S.A.M.","Anton Topic","9107679"
"Antonis Ltd.","Antonis","9779953"
"Cook Inlet Tug and Barge, LLC","Antril S","1268451"
"Gladman Navigation Corporation Ltd.","Antwerpen","9318321"
"Mitsubishi Ore Transport Co., Ltd.","AOM Elena","9414888"
"Mitsubishi Ore Transport Co., Ltd.","AOM Sophie","9404766"
"Atlantska Plovidba D.D.","AP Libertas","9465734"
"Atlantska Plovidba D.D.","AP Revelin","9694696"
"Bayview Shipping Co. SA","Apache","9749489"
"NST Enterprise, SA","Aphrodite Leader","9335953"
"CMA CGM International Shipping Company Pte. Ltd","APL Barcelona","9462043"
"CMA CGM International Shipping Company Pte. Ltd","APL China","9074389"
"CMA CGM International Shipping Company Pte. Ltd","APL Chongaing","9461867"
"CMA CGM International Shipping Company Pte. Ltd","APL Columbus","9597525"
"CMA Ships","APL Danube","9674517"
"CMA CGM International Shipping Company Pte. Ltd","APL Detroit","9632208"
"CMA CGM International Shipping Company Pte. Ltd","APL Dublin","9601314"
"CMA CGM International Shipping Company Pte. Ltd","APL Esplanade","9632038"
"CMA CGM International Shipping Company Pte. Ltd","APL Houston","9597537"
"CMA CGM International Shipping Company Pte. Ltd","PL Japan","9074391"
"CMA CGM International Shipping Company Pte. Ltd","Korea","9074535"
"CMA CGM International Shipping Company Pte. Ltd","APL Merlion","9632014"
"CMA CGM International Shipping Company Pte. Ltd","APL Mexico City","9632210"
"CMA CGM International Shipping Company Pte. Ltd","APL New York","9597484"
"CMA CGM International Shipping Company Pte. Ltd","APL Paris","9601302"
"CMA CGM International Shipping Company Pte. Ltd","APL Phoenix","9597501"
"CMA CGM International Shipping Company Pte. Ltd","APL Qingdao","9461893"
"CMA CGM International Shipping Company Pte. Ltd","APL Salalah","9462029"
"CMA CGM International Shipping Company Pte. Ltd","APL Santiago","9597563"
"CMA CGM International Shipping Company Pte. Ltd","APL Sentosa","9632040"
"CMA CGM International Shipping Company Pte. Ltd","APL Singapore","9074547"
"CMA CGM International Shipping Company Pte. Ltd","APL Southampton","9462017"
"CMA CGM International Shipping Company Pte. Ltd","APL Temasek","9631955"
"CMA CGM International Shipping Company Pte. Ltd","APL Thailand","9077123"
"CMA CGM International Shipping Company Pte. Ltd","APL Vancouver","9597472"
"CMA CGM International Shipping Company Pte. Ltd","APL Yangshan","9462031"
"Far Southern Shipping Corporation","Apollo","9296793"
"Sincere Industrial Corporation","Apollo Bulker","9459151"
"Sea Pioneer SA","Apollon","9289532"
""K" Line RoRo Bulk Ship Management Co., Ltd.","Apollon Highway","9728083"
"Mitsubishi Ore Transport Co., Ltd.","Apollon Leader","9402706"
"Apollonia Transportation Special Maritime Enterpris","Apollonia","9246645"
"Pendea S.A.","Apolytares","9419474"
"Lorenzo Shipmanagement Inc.","Apostolos","9327451"
"Mezzo Investment Inc","Aprilia","9767041"
"Unisea Shipping Ltd.","Aqualeader","9592238"
"Unisea Shipping Ltd.","Aqualegacy","9601833"
"Unisea Shipping Ltd.","Aqualegend","9592240"
